imdb_id,title,year,rated,released,runtime,genre,director,writer,actors,language,country,imdb_rating,type
tt6283780,Boy Bye,2016,,,83 min,"Drama, Romance",Chris Stokes,"Marques Houston, Chris Stokes","Wendy Raquel Robinson, Ross Fleming, Tammy Townsend",English,United States,5.4,movie
tt0479500,Nancy Drew,2007,PG,15 Jun 2007,99 min,"Comedy, Crime, Family",Andrew Fleming,"Andrew Fleming, Tiffany Paulsen, Mildred Wirt Benson","Emma Roberts, Tate Donovan, Max Thieriot",English,United States,5.9,movie
tt1190689,Nurse Jackie,2009–2015,TV-MA,08 Jun 2009,27 min,"Comedy, Drama",,"Liz Brixius, Evan Dunsky, Linda Wallem","Edie Falco, Merritt Wever, Paul Schulze",English,United States,7.7,series
tt1280822,Drop Dead Diva,2009–2014,TV-PG,12 Jul 2009,60 min,"Comedy, Drama",,Josh Berman,"Brooke Elliott, Margaret Cho, Kate Levering",English,United States,7.4,series
tt0238784,Gilmore Girls,2000–2007,TV-PG,05 Oct 2000,44 min,"Comedy, Drama",,Amy Sherman-Palladino,"Lauren Graham, Alexis Bledel, Keiko Agena",English,United States,8.1,series
tt0098067,Parenthood,1989,PG-13,02 Aug 1989,124 min,"Comedy, Drama",Ron Howard,"Lowell Ganz, Babaloo Mandel, Ron Howard","Steve Martin, Mary Steenburgen, Dianne Wiest","English, Spanish",United States,7.0,movie
tt1442109,Life Unexpected,2010–2011,TV-PG,18 Jan 2010,60 min,Drama,,Liz Tigelaar,"Shiri Appleby, Kristoffer Polaha, Britt Robertson",English,"United States, Canada",7.5,series
tt2056366,The Carrie Diaries,2013–2014,TV-14,14 Jan 2013,42 min,"Comedy, Drama, Romance",,Amy Harris,"AnnaSophia Robb, Austin Butler, Ellen Wong",English,United States,7.0,series
tt2177489,Baby Daddy,2012–2017,TV-14,20 Jun 2012,22 min,"Comedy, Drama, Family",,Dan Berendsen,"Jean-Luc Bilodeau, Derek Theler, Melissa Peterman",English,United States,7.4,series
tt1294970,The Angriest Man in Brooklyn,2014,R,23 May 2014,83 min,"Comedy, Drama",Phil Alden Robinson,"Daniel Taplitz, Assi Dayan","Robin Williams, Mila Kunis, Peter Dinklage",English,United States,5.7,movie
tt2431438,Sense8,2015–2018,TV-MA,05 Jun 2015,60 min,"Drama, Mystery, Sci-Fi",,"J. Michael Straczynski, Lana Wachowski, Lilly Wachowski","Bae Doona, Jamie Clayton, Tina Desai",English,United States,8.3,series
tt2817246,Girlfriends' Guide to Divorce,2014–2018,TV-14,02 Dec 2014,60 min,"Comedy, Drama",,Marti Noxon,"Lisa Edelstein, Beau Garrett, Necar Zadegan",English,United States,6.9,series
tt3986390,Fried,2014–,,20 Jul 2014,23 min,Comedy,,"Harry Williams, Jack Williams","Mandeep Dhillon, William Melling, Katy Wix",English,United Kingdom,6.2,series
tt1226766,The Great Gilly Hopkins,2015,PG,07 Oct 2016,99 min,"Comedy, Drama, Family",Stephen Herek,"David Paterson, Katherine Paterson","Sophie Nélisse, Kathy Bates, Glenn Close",English,United States,6.5,movie
tt4254242,The Magicians,2015–2020,TV-14,16 Dec 2015,60 min,"Drama, Fantasy, Mystery",,"Sera Gamble, John McNamara","Stella Maeve, Hale Appleman, Arjun Gupta",English,"United States, Canada",7.6,series
