IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0055667,Davey and Goliath,1960–2004,TV-G,N/A,15 min,"Animation, Family",N/A,N/A,"Hal Smith, Dick Beals, Norma MacMillan, Nancy Wible",English,United States,7.6,None,None,series
tt3142260,Deadly Seasons: Blue Catacomb,2013,N/A,31 Jan 2014,96 min,Thriller,Charlotte Brändström,"Gilda Piersanti, Gianguido Spinelli","Patrick Chesnais, Camille Panonacle, Jane Birkin, Ludmila Mikaël",French,France,6.4,None,None,movie
tt2372855,Deals from the Dark Side,2011,N/A,04 Nov 2011,N/A,Reality-TV,N/A,Jim Kiriakakis,"Steve Santini, Charles Ivey, Stef Proctor, Miki Corazza",English,Canada,6.5,None,None,series
tt0435566,Def Comedy Jam,1992–,TV-MA,01 Jul 1992,300 min,Comedy,N/A,N/A,"Kid Capri, Martin Lawrence, D.L. Hughley",English,United States,7.8,None,None,series
tt2316306,Delete,2013,TV-14,19 Aug 2013,180 min,"Action, Drama, Sci-Fi",N/A,N/A,"Keir Gilchrist, Erin Karpluk, Ryan Robbins","English, Persian, Chinese","United States, Canada",5.6,None,None,series
tt0106701,Dennis the Menace,1993,PG,25 Jun 1993,94 min,"Comedy, Family",Nick Castle,"Hank Ketcham, John Hughes","Walter Matthau, Mason Gamble, Joan Plowright","English, French",United States,5.6,27%,49/100,movie
tt4082744,Detectorists,2014–2017,Not Rated,02 Oct 2014,30 min,Comedy,N/A,Mackenzie Crook,"Mackenzie Crook, Toby Jones, Rachael Stirling",English,United Kingdom,8.6,None,None,series
tt0118984,Dilbert,1999–2000,TV-PG,25 Jan 1999,30 min,"Animation, Comedy",N/A,"Scott Adams, Larry Charles","Daniel Stern, Gordon Hunt, Chris Elliott",English,"United States, Canada",7.3,None,None,series
tt0052490,The Many Loves of Dobie Gillis,1959–1963,TV-Y7,29 Sep 1959,30 min,"Comedy, Family",N/A,Max Shulman,"Dwayne Hickman, Bob Denver, Frank Faylen",English,United States,7.6,None,None,series
tt0408381,Doc Martin,2004–,TV-14,01 Jan 2004,46 min,"Comedy, Drama, Romance",N/A,"Dominic Minghella, Mark Crowdy, Craig Ferguson","Martin Clunes, Caroline Catz, Ian McNeice",English,United Kingdom,8.3,None,None,series
tt6015808,Doctor Doctor,2016–2021,Not Rated,05 Jun 2017,50 min,"Comedy, Drama",N/A,"Ian Collie, Alan Harris, Tony McNamara","Rodger Corser, Nicole da Silva, Ryan Johnson",English,Australia,7.8,None,None,series
tt3216608,Dr. Ken,2015–2017,TV-PG,02 Oct 2015,21 min,Comedy,N/A,"John Fox, Ken Jeong, Jared Stern","Ken Jeong, Suzy Nakamura, Tisha Campbell",English,United States,5.7,None,None,series
tt0407384,Earthsea,2004–2005,N/A,13 Dec 2004,90 min,"Fantasy, Drama, Adventure",N/A,N/A,"Shawn Ashmore, Kristin Kreuk, Isabella Rossellini",English,"United States, Canada",5.7,None,None,series
tt0121932,Extreme Ghostbusters,1997,TV-Y7,01 Sep 1997,23 min,"Animation, Action, Adventure",N/A,"Jeff Kline, Richard Raynis","Tara Strong, Maurice LaMarche, Jason Marsden",English,"United States, Canada",6.9,None,None,series
tt0046600,Father Knows Best,1954–1960,TV-G,03 Oct 1954,30 min,"Comedy, Family",N/A,Ed James,"Robert Young, Lauren Chapin, Jane Wyatt",English,United States,7.4,None,None,series
tt0111958,Father Ted,1995–1998,TV-14,21 Apr 1995,25 min,Comedy,N/A,N/A,"Dermot Morgan, Ardal O'Hanlon, Frank Kelly",English,United Kingdom,8.6,None,None,series
tt1020621,Final 24,2006–,TV-14,N/A,N/A,"Documentary, Biography, Crime, Drama, Mystery",N/A,N/A,"Danny Wallace, Dave McRae",English,Canada,7.4,None,None,series
tt0478073,Final Days of Planet Earth,2006–,TV-14,14 Oct 2006,173 min,"Action, Comedy, Drama",Robert Lieberman,"Christian Ford, Roger Soffer, Christian Ford (teleplay), Roger Soffer (teleplay), Bill Thumm (teleplay), Christian Ford (story), Roger Soffer (story)","Suleka Mathew, Serge Houde, Beau Starr","English, Serbo-Croatian","United States, Canada",4.2,None,None,series
tt0488262,Flavor of Love,2006–,TV-14,01 Jan 2006,60 min,"Game-Show, Reality-TV, Romance",N/A,"Cris Abrego, Mark Cronin","Flavor Flav, Ricky B. Head, Dion Graham",English,United States,4.5,None,None,series
tt2338868,Football Freestyler,2012–,E,20 May 2012,30 min,"Documentary, Sport",Martin Dale,N/A,"Dan Magness, Edgar Davids, Ryan Doyle",English,United Kingdom,N/A,None,None,series
