IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt3205802,How to Get Away with Murder,2014–2020,TV-14,25 Sep 2014,43 min,"Crime, Drama, Mystery",N/A,Peter Nowalk,"Viola Davis, Billy Brown, Jack Falahee","English, Spanish",United States,8.1,,,series,False,False
tt4592410,The Get Down,2016–2017,TV-MA,12 Aug 2016,52 min,"Drama, Music, Musical",N/A,"Stephen Adly Guirgis, Baz Luhrmann","Justice Smith, Shameik Moore, Herizen F. Guardiola",English,United States,8.3,,,series,False,False
tt3774694,Love,2015,TV-MA,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","English, French","France, Belgium",6.1,40%,51/100,movie,False,False
tt4635282,The OA,2016–2019,TV-MA,16 Dec 2016,60 min,"Drama, Fantasy, Mystery",N/A,"Zal Batmanglij, Brit Marling","Brit Marling, Jason Isaacs, Scott Wilson",English,United States,7.8,,,series,False,False
tt4574334,Stranger Things,2016–,TV-14,15 Jul 2016,51 min,"Drama, Fantasy, Horror",N/A,"Matt Duffer, Ross Duffer","Millie Bobby Brown, Finn Wolfhard, Winona Ryder","English, Russian",United States,8.7,,,series,False,False
tt6495756,Ingobernable,2017–,TV-MA,24 Mar 2017,40 min,"Crime, Drama, Mystery",N/A,N/A,"Kate del Castillo, Leah Allers, Eréndira Ibarra",Spanish,Mexico,7.2,,,series,False,False
tt2948356,Zootopia,2016,PG,04 Mar 2016,108 min,"Animation, Adventure, Comedy","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba",English,United States,8.0,98%,78/100,movie,False,False
tt4191580,Meet the Blacks,2016,R,01 Apr 2016,94 min,"Comedy, Horror",Deon Taylor,"Deon Taylor, Nicole DeMasi","Mike Epps, Zulay Henao, Alex Henderson",English,United States,4.8,17%,26/100,movie,False,False
tt2277860,Finding Dory,2016,PG,17 Jun 2016,97 min,"Animation, Adventure, Comedy","Andrew Stanton, Angus MacLane","Andrew Stanton, Victoria Strouse","Ellen DeGeneres, Albert Brooks, Ed O'Neill","English, Indonesian",United States,7.3,94%,77/100,movie,False,False
tt1700841,Sausage Party,2016,R,12 Aug 2016,89 min,"Animation, Adventure, Comedy","Greg Tiernan, Conrad Vernon","Kyle Hunter, Ariel Shaffir, Seth Rogen","Seth Rogen, Kristen Wiig, Jonah Hill",English,"United States, Canada",6.1,82%,66/100,movie,False,False
