IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt6001956,Blue Ribbon Kids,2016,N/A,13 Aug 2016,N/A,"Documentary, Reality-TV",N/A,N/A,"Ciara Allen, Gary Amos, Linda Amos",N/A,N/A,N/A,,,episode
tt0057180,The Incredible Journey,1963,G,20 Nov 1963,80 min,"Adventure, Drama, Family",Fletcher Markle,"James Algar, Sheila Burnford","Émile Genest, John Drainie, Tommy Tweed",English,"Canada, United States",7.1,89%,87/100,movie
tt0317705,The Incredibles,2004,PG,05 Nov 2004,115 min,"Animation, Action, Adventure",Brad Bird,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter","English, French",United States,8.0,,90/100,movie
tt0089385,The Journey of Natty Gann,1985,PG,27 Sep 1985,101 min,"Adventure, Family",Jeremy Kagan,Jeanne Rosenberg,"Meredith Salenger, John Cusack, Ray Wise",English,United States,7.0,91%,66/100,movie
tt0061852,The Jungle Book,1967,G,18 Oct 1967,78 min,"Animation, Adventure, Family",Wolfgang Reitherman,"Larry Clemmons, Ralph Wright, Ken Anderson","Phil Harris, Sebastian Cabot, Louis Prima",English,United States,7.6,88%,65/100,movie
tt0283426,The Jungle Book 2,2003,G,14 Feb 2003,72 min,"Animation, Adventure, Family",Steve Trenbirth,"Karl Geurs, Carter Crocker, Evan Spiliotopoulos","John Goodman, Haley Joel Osment, Tony Jay",English,"United States, Australia",5.4,18%,38/100,movie
tt0144262,The Jungle Book: Mowgli's Story,1998,G,28 Sep 1998,77 min,"Adventure, Family",Nick Marck,"Rudyard Kipling (book), Jose Rivera (teleplay), Jim Herzfeld (teleplay)","Brandon Baker, Sherman Howard, Clancy Brown, Peri Gilpin",English,United States,4.2,,,movie
tt1294226,The Last Song,2010,PG,31 Mar 2010,107 min,"Drama, Music, Romance",Julie Anne Robinson,"Nicholas Sparks, Jeff Van Wie","Miley Cyrus, Liam Hemsworth, Greg Kinnear",English,United States,6.0,20%,33/100,movie
tt2565938,The Legend of Mor'du,2012,TV-PG,05 Dec 2012,7 min,"Animation, Short, Family, Fantasy",Brian Larsen,"Steve Purcell, Brian Larsen","Julie Walters, Steve Purcell, Callum O'Neill",English,United States,6.2,,,movie
tt6105098,The Lion King,2019,PG,19 Jul 2019,118 min,"Animation, Adventure, Drama",Jon Favreau,"Jeff Nathanson, Irene Mecchi, Jonathan Roberts","Donald Glover, Beyoncé, Seth Rogen","English, Xhosa, Zulu, French, Spanish, Hindi","United States, United Kingdom, South Africa",6.8,52%,55/100,movie
tt0318403,The Lion King 3: Hakuna Matata,2004,G,10 Feb 2004,77 min,"Animation, Adventure, Comedy, Family, Musical",Bradley Raymond,"Tom Rogers (screenplay), Roger Allers (additional screenplay material), Irene Mecchi (additional screenplay material), Bill Steinkellner (additional screenplay material), Evan Spiliotopoulos (additional screenplay material)","Nathan Lane, Ernie Sabella, Julie Kavner, Jerry Stiller",English,"Australia, USA",6.5,78%,,movie
tt0120131,The Lion King 2: Simba's Pride,1998,G,27 Oct 1998,81 min,"Animation, Adventure, Drama, Family, Musical, Romance","Darrell Rooney, Rob LaDuca(co-director)","Flip Kobler (screenplay), Cindy Marcus (screenplay), Jenny Wingfield (additional written material), Linda Voorhees (additional written material), Gregory Poirier (additional written material), Bill Motz (additional written material), Bob Roth (additional written material), Mark McCorkle (additional written material), Bob Schooley (additional written material), Jonathan Cuba (additional written material)","Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume",English,"USA, Australia",6.5,62%,,movie
tt0110357,The Lion King,1994,G,24 Jun 1994,88 min,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton","Matthew Broderick, Jeremy Irons, James Earl Jones","English, Swahili, Xhosa, Zulu",United States,8.5,93%,88/100,movie
tt0097757,The Little Mermaid,1989,G,17 Nov 1989,83 min,"Animation, Family, Fantasy","Ron Clements, John Musker","John Musker, Ron Clements, Hans Christian Andersen","Jodi Benson, Samuel E. Wright, Rene Auberjonois","English, French",United States,7.6,93%,88/100,movie
tt0240684,The Little Mermaid 2: Return to the Sea,2000,G,19 Sep 2000,75 min,"Animation, Drama, Family, Fantasy, Musical","Jim Kammerud, Brian Smith(co-director), Bill Speers(co-director)","Elizabeth Anderson (screenplay), Temple Mathews (screenplay), Elise D'Haene (additional screenplay material), Eddie Guzelian (additional screenplay material)","Jodi Benson, Samuel E. Wright, Tara Strong, Pat Carroll",English,"USA, Canada, Australia, Taiwan, Hong Kong, France, Japan, China",5.6,17%,,movie
tt0969647,The Little Mermaid: Ariel's Beginning,2008,G,25 Aug 2008,77 min,"Animation, Drama, Family, Fantasy, Musical",Peggy Holmes,"Robert Reece (screenplay), Evan Spiliotopoulos (screenplay), Jule Selbo (story), Jenny Wingfield (story), Steve Bencich (additional screenplay material), Peggy Holmes (additional screenplay material), Tom Rogers (additional screenplay material), Thania St. John (additional screenplay material), Rich Burns (additional screenplay material), Ron J. Friedman (additional screenplay material)","Jodi Benson, Samuel E. Wright, Jim Cummings, Sally Field",English,United States,6.2,33%,,movie
tt0046008,The Living Desert,1953,G,10 Nov 1953,69 min,"Family, Documentary",James Algar,"James Algar, Winston Hibler, Ted Sears",Winston Hibler,English,United States,7.5,,69/100,movie
tt0306841,The Lizzie McGuire Movie,2003,PG,02 May 2003,94 min,"Adventure, Comedy, Family",Jim Fall,"Susan Estelle Jansen, Ed Decter, John J. Strauss","Hilary Duff, Adam Lamberg, Clayton Snyder","English, Italian",United States,5.5,40%,56/100,movie
tt6176812,The Lodge,2016–,TV-G,17 Oct 2016,22 min,Family,N/A,N/A,"Luke Newton, Sophie Simnett, Thomas Doherty",English,United Kingdom,6.2,,,series
tt10290670,The Lost Tomb of Alexander the Great,2019,N/A,04 Mar 2019,44 min,Documentary,Duncan Singh,N/A,"Matt McFetridge, Fredrik T. Hiebert, Calliope Limneos-Papakosta, Maria Nilsson",English,United Kingdom,6.6,,,movie
tt0064603,The Love Bug,1968,G,13 Mar 1969,108 min,"Comedy, Family, Sport",Robert Stevenson,"Bill Walsh, Don DaGradi, Gordon Buford","Dean Jones, Michele Lee, David Tomlinson","English, Cantonese, Spanish",United States,6.5,76%,48/100,movie
tt8111088,The Mandalorian,2019–,TV-14,12 Nov 2019,40 min,"Action, Adventure, Sci-Fi",N/A,Jon Favreau,"Pedro Pascal, Gina Carano, Giancarlo Esposito",English,United States,8.8,,,series
tt0076363,The Many Adventures of Winnie the Pooh,1977,G,11 Mar 1977,74 min,"Animation, Adventure, Comedy","John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen","A.A. Milne, Larry Clemmons, Ralph Wright","Sebastian Cabot, Junius Matthews, Barbara Luddy",English,United States,7.6,,,movie
tt0066728,The Million Dollar Duck,1971,G,30 Jun 1971,89 min,"Comedy, Family, Sci-Fi",Vincent McEveety,"Ted Key, Roswell Rogers","Dean Jones, Sandy Duncan, Joe Flynn",English,United States,5.8,17%,45/100,movie
tt2490352,The Mistle-Tones,2012,TV-PG,09 Dec 2012,90 min,"Comedy, Family, Music",Paul Hoen,"Jed Elinoff, Scott Thomas","Tia Mowry-Hardrict, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy",English,United States,6.6,,,movie
tt0104940,The Muppet Christmas Carol,1992,G,11 Dec 1992,85 min,"Comedy, Drama, Family",Brian Henson,"Charles Dickens, Jerry Juhl","Michael Caine, Dave Goelz, Steve Whitmire",English,"United States, United Kingdom",7.7,76%,64/100,movie
