imdb_id,platform_id
tt0387764,P03
tt0389121,P03
tt0402619,P03
tt0407384,P03
tt0408381,P03
tt0409570,P03
tt0412536,P03
tt0419373,P03
tt0421099,P03
tt0423661,P03
tt0435566,P03
tt0437005,P03
tt0452573,P03
tt0455596,P03
tt0478073,P03
tt0487002,P03
tt0488262,P03
tt0496356,P03
tt0765010,P03
tt0774758,P03
tt0785067,P03
tt0816399,P03
tt0844666,P03
tt0861748,P03
tt0875948,P03
tt0876219,P03
tt0879688,P03
tt0937967,P03
tt0938567,P03
tt0956036,P03
tt0983514,P03
tt1020621,P03
tt10305444,P03
tt10609012,P03
tt10874860,P03
tt1094229,P03
tt1101009,P03
tt11018750,P03
tt1103968,P03
tt11213708,P03
tt11623790,P03
tt1183569,P03
tt1199099,P03
tt12129168,P03
tt1215482,P03
tt1217956,P03
tt1240976,P03
tt13057984,P03
tt13071248,P03
tt13223854,P03
tt13399556,P03
tt1349084,P03
tt1354663,P03
tt14016778,P03
tt1411664,P03
tt1417761,P03
tt1497609,P03
tt1579071,P03
tt1583638,P03
tt1586680,P03
tt1595680,P03
tt1703925,P03
tt1826805,P03
tt1843894,P03
tt1880804,P03
tt1914371,P03
tt1975734,P03
tt2084685,P03
tt2172103,P03
tt2198439,P03
tt2221679,P03
tt2223298,P03
tt2232345,P03
tt2301501,P03
tt2316306,P03
tt2338868,P03
tt2372855,P03
tt2597760,P03
tt2714046,P03
tt2731624,P03
tt2751074,P03
tt2993138,P03
tt3142260,P03
tt3147692,P03
tt3216608,P03
tt3222712,P03
tt3543072,P03
tt3690364,P03
tt3696748,P03
tt3887992,P03
tt4074374,P03
tt4082744,P03
tt4298268,P03
tt4397864,P03
tt4594334,P03
tt4633680,P03
tt4667610,P03
tt4693256,P03
tt4831310,P03
tt4960458,P03
tt5028002,P03
tt5126940,P03
tt5247284,P03
tt5539000,P03
tt5592230,P03
tt5754262,P03
tt6015808,P03
tt6043648,P03
tt6056924,P03
tt6057002,P03
tt6086806,P03
